,date,link,title,length
49,2018-01-11,https://www.youtube.com/watch?v=vRa8-l_VKrQ,うんこちゃん 『10分ミーティング』【2014/04/26】,1928
50,2018-01-13,https://www.youtube.com/watch?v=bbGCNcH1rpw,うんこちゃん『10分会議』【2014/04/27】,5134
51,2018-01-13,https://www.youtube.com/watch?v=8rTQTj7Q7KM,うんこちゃん『無策』【2014/05/01】,7557
52,2018-01-13,https://www.youtube.com/watch?v=Ihs5aKUSxQc,うんこちゃん 『キャッチコピー選手権』【2014/05/01】,1973
53,2018-01-15,https://www.youtube.com/watch?v=oeGkLQEDoVQ,うんこちゃん『a』【2014/05/05】,706
54,2018-01-16,https://www.youtube.com/watch?v=InGiU-JZ7t4,うんこちゃん『風呂沸くまでだよ』【2014/05/12】,5356
55,2018-01-16,https://www.youtube.com/watch?v=5o9rUsuHT7Q,うんこちゃん『ちょっとまてよ！』【2014/05/12】,442
56,2018-01-18,https://www.youtube.com/watch?v=wwYA_NnmJM8,うんこちゃん『くっそ疲れ申した』【2014/05/21】,8995
57,2018-01-18,https://www.youtube.com/watch?v=tty5uctxZuM,うんこちゃん『週末』【2014/05/23】,11490
58,2018-01-21,https://www.youtube.com/watch?v=iFwgOOm_Xjs,うんこちゃん『火曜日』【2014/05/27】,10782
59,2018-01-22,https://www.youtube.com/watch?v=IT-OUf9yHQU,うんこちゃん『読売巨人軍応援団団長巨人軍栄光応援生放送』【2014/05/28】,3138
60,2018-01-22,https://www.youtube.com/watch?v=n-tcoMrg5Fs,うんこちゃん『梅雨』(前枠)【2014/06/05】,36
61,2018-01-22,https://www.youtube.com/watch?v=XGHZ_Qjr5Qo,うんこちゃん『梅雨』【2014/06/05】,12601
62,2018-01-22,https://www.youtube.com/watch?v=SwW_kgzS38k,うんこちゃん『ユーザーチャンネル立候補します！』【2014/06/12】,3653
63,2018-01-22,https://www.youtube.com/watch?v=UZ8ussf9Is8,うんこちゃん『空』【2014/06/14】,6179
64,2018-01-22,https://www.youtube.com/watch?v=KibbP18wHxU,うんこちゃん×蛟『ゴミ』【2014/06/14】,1792
65,2018-01-22,https://www.youtube.com/watch?v=dXuIgxqKneo,うんこちゃんx蛟『まず飯を食う』【2014/06/14】,10581
66,2017-12-29,https://www.youtube.com/watch?v=IlnE2imFjFg,うんこちゃん『15分間凝縮』【2014/06/21】,5973
67,2017-12-29,https://www.youtube.com/watch?v=TbQhPOPLMMA,うんこちゃん『雑』【2014/06/25】,5303
68,2018-01-22,https://www.youtube.com/watch?v=5_dGvHoGrSo,うんこちゃん『飯を食う』(雑談・熱血格闘伝説の準備部分)【2014/06/29】,7252
69,2018-01-25,https://www.youtube.com/watch?v=BBrjGcu1cac,うんこちゃん『ゴミ雑談』【2014/07/02】,7268
70,2018-01-25,https://www.youtube.com/watch?v=wnhzais6Uew,うんこちゃん『娑婆』【2014/07/18】,1817
71,2018-01-25,https://www.youtube.com/watch?v=rSZpgktsFPI,うんこちゃん『あ』【2014/07/18】,4320
72,2018-01-25,https://www.youtube.com/watch?v=s6nVQDEzQKI,うんこちゃん『巨人』【2014/07/18】,6655
73,2018-01-25,https://www.youtube.com/watch?v=h9_qaYKOVC4,うんこちゃん『無』【2014/07/23】,3498
74,2018-01-25,https://www.youtube.com/watch?v=ayFf5qN4hWs,うんこちゃん『俺を一人にするな』【2014/07/23】,20724
75,2018-01-25,https://www.youtube.com/watch?v=zmgCqOhJ1FM,うんこちゃん『今日は30時間くらいやるよ＾＾』【2014/07/23】,7433
76,2018-01-25,https://www.youtube.com/watch?v=_RIvfw83bNY,うんこちゃん『さみしい』【2014/07/27】,2528
77,2018-01-25,https://www.youtube.com/watch?v=1iGyuiG6R9A,うんこちゃん『晴れて無職』【2014/07/31】,11124
78,2018-01-27,https://www.youtube.com/watch?v=H3dZw1_uqCw,うんこちゃん『一人がさみしい(;_;)』【2014/08/02】,9105
