,date,link,title,length,transcribed
20,2017-12-27,https://www.youtube.com/watch?v=wRujuzPVy-M,うんこちゃん『雑談』【2014/03/21】,9357,-1
21,2017-12-27,https://www.youtube.com/watch?v=1IQjO4AcXFY,うんこちゃん『雑談』【2014/03/22】,4137,-1
22,2017-12-28,https://www.youtube.com/watch?v=g376vcwgd8Y,うんこちゃん『雑談』【2014/03/28】,14931,-1
23,2017-12-28,https://www.youtube.com/watch?v=_arpqL_Ia_A,うんこちゃん『るろうに剣心前の雑談・準備』【2014/03/29】,724,-1
24,2017-12-28,https://www.youtube.com/watch?v=QpArLcQSfy0,うんこちゃん『るろうに剣心 -明治剣客浪漫譚- 炎上!京都輪廻』【2014/03/29】,13159,-1
25,2017-12-29,https://www.youtube.com/watch?v=ty98l5VNK-Q,うんこちゃん『雑談』【2014/03/30】,8056,-1
26,2017-12-29,https://www.youtube.com/watch?v=3cT_l9QOKf8,うんこちゃん『ポケモン黄Part1前の雑談』【2014/03/30】,227,-1
27,2018-01-03,https://www.youtube.com/watch?v=ooSEp0Nbaeg,うんこちゃん『野球実況 巨人x中日』(映像無)【2014/04/04】,9675,-1
28,2018-01-03,https://www.youtube.com/watch?v=cxnifya405Y,うんこちゃん『野球実況 巨人x中日』(映像有)【2014/04/04】,7136,-1
29,2018-01-03,https://www.youtube.com/watch?v=welEVEvhKdE,うんこちゃん『ポケモン黄 Part4後の雑談』【2014/04/04】,9532,-1
30,2018-01-03,https://www.youtube.com/watch?v=wt7TBH0ZdTY,うんこちゃん『雑談』【2014/04/08】,10113,-1
31,2018-01-03,https://www.youtube.com/watch?v=L4QFP0Y6Mhk,うんこちゃん『雑談』【2014/04/11】,2466,-1
32,2018-01-03,https://www.youtube.com/watch?v=4jEEKmc3WfQ,うんこちゃん『野球実況 巨人x阪神(映像有、野球実況部分のみ)』【2014/04/11】,3945,-1
33,2018-01-04,https://www.youtube.com/watch?v=GbDTg23-Bzs,うんこちゃん『雑談・野球実況 巨人x阪神(映像無し)』(規制回避版)【2014/04/11】,15575,-1
34,2018-01-07,https://www.youtube.com/watch?v=otewIdRACkg,うんこちゃん『テスト』【2014/04/11】,64,-1
35,2018-01-07,https://www.youtube.com/watch?v=8E8Q3ivPytQ,うんこちゃん『雑談』【2014/04/13】,8952,-1
36,2018-01-07,https://www.youtube.com/watch?v=783tC43K0YI,うんこちゃんxもこうx蛟『ゴミ』【2014/04/14】,5398,-1
37,2018-01-07,https://www.youtube.com/watch?v=0LqMLxv78Pw,うんこちゃん『雑談』【2014/04/14】,3702,-1
38,2017-12-04,https://www.youtube.com/watch?v=SPndIxyId5I,うんこちゃん『雑談放送その１』【2014/04/17】,1732,-1
39,2017-12-04,https://www.youtube.com/watch?v=EW8CPddwots,うんこちゃん『雑談放送その２』【2014/04/18】,1318,-1
40,2018-01-07,https://www.youtube.com/watch?v=BK6NgBljt4g,うんこちゃん『薄幸』【2014/04/18】,6380,-1
41,2018-01-07,https://www.youtube.com/watch?v=I619IxE8vpw,うんこちゃん『問い合わせ。』【2014/04/19】,5405,-1
42,2018-01-07,https://www.youtube.com/watch?v=dAeSzJkOHPQ,うんこちゃん『名古屋様』【2014/04/19】,5003,-1
43,2018-01-07,https://www.youtube.com/watch?v=MFV1PZew4Kw,うんこちゃん『あｓ』【2014/04/19】,7075,-1
44,2018-01-11,https://www.youtube.com/watch?v=s8s956UWyPw,うんこちゃん『あ』【2014/04/21】,985,-1
45,2018-01-11,https://www.youtube.com/watch?v=CUbH09k8ecs,うんこちゃん『ワラタ』【2014/04/21】,1746,-1
46,2018-01-11,https://www.youtube.com/watch?v=5YRJClhgBCw,うんこちゃん 『おい９うおういｈｙ』【2014/04/21】,545,-1
47,2018-01-11,https://www.youtube.com/watch?v=-vD8FP_zlRY,うんこちゃん『ミラー職人・管理者を決める』【2014/04/22】,2824,-1
48,2018-01-11,https://www.youtube.com/watch?v=C2yPBYwyKiM,うんこちゃん『ﾒｼ』【2014/04/26】,5937,-1
49,2018-01-11,https://www.youtube.com/watch?v=vRa8-l_VKrQ,うんこちゃん 『10分ミーティング』【2014/04/26】,1928,-1
50,2018-01-13,https://www.youtube.com/watch?v=bbGCNcH1rpw,うんこちゃん『10分会議』【2014/04/27】,5134,-1
51,2018-01-13,https://www.youtube.com/watch?v=8rTQTj7Q7KM,うんこちゃん『無策』【2014/05/01】,7557,-1
52,2018-01-13,https://www.youtube.com/watch?v=Ihs5aKUSxQc,うんこちゃん 『キャッチコピー選手権』【2014/05/01】,1973,-1
53,2018-01-15,https://www.youtube.com/watch?v=oeGkLQEDoVQ,うんこちゃん『a』【2014/05/05】,706,-1
54,2018-01-16,https://www.youtube.com/watch?v=InGiU-JZ7t4,うんこちゃん『風呂沸くまでだよ』【2014/05/12】,5356,-1
55,2018-01-16,https://www.youtube.com/watch?v=5o9rUsuHT7Q,うんこちゃん『ちょっとまてよ！』【2014/05/12】,442,-1
56,2018-01-18,https://www.youtube.com/watch?v=wwYA_NnmJM8,うんこちゃん『くっそ疲れ申した』【2014/05/21】,8995,-1
57,2018-01-18,https://www.youtube.com/watch?v=tty5uctxZuM,うんこちゃん『週末』【2014/05/23】,11490,-1
58,2018-01-21,https://www.youtube.com/watch?v=iFwgOOm_Xjs,うんこちゃん『火曜日』【2014/05/27】,10782,-1
59,2018-01-22,https://www.youtube.com/watch?v=IT-OUf9yHQU,うんこちゃん『読売巨人軍応援団団長巨人軍栄光応援生放送』【2014/05/28】,3138,-1
60,2018-01-22,https://www.youtube.com/watch?v=n-tcoMrg5Fs,うんこちゃん『梅雨』(前枠)【2014/06/05】,36,-1
61,2018-01-22,https://www.youtube.com/watch?v=XGHZ_Qjr5Qo,うんこちゃん『梅雨』【2014/06/05】,12601,-1
62,2018-01-22,https://www.youtube.com/watch?v=SwW_kgzS38k,うんこちゃん『ユーザーチャンネル立候補します！』【2014/06/12】,3653,-1
63,2018-01-22,https://www.youtube.com/watch?v=UZ8ussf9Is8,うんこちゃん『空』【2014/06/14】,6179,-1
64,2018-01-22,https://www.youtube.com/watch?v=KibbP18wHxU,うんこちゃん×蛟『ゴミ』【2014/06/14】,1792,-1
65,2018-01-22,https://www.youtube.com/watch?v=dXuIgxqKneo,うんこちゃんx蛟『まず飯を食う』【2014/06/14】,10581,-1
66,2017-12-29,https://www.youtube.com/watch?v=IlnE2imFjFg,うんこちゃん『15分間凝縮』【2014/06/21】,5973,-1
67,2017-12-29,https://www.youtube.com/watch?v=TbQhPOPLMMA,うんこちゃん『雑』【2014/06/25】,5303,-1
68,2018-01-22,https://www.youtube.com/watch?v=5_dGvHoGrSo,うんこちゃん『飯を食う』(雑談・熱血格闘伝説の準備部分)【2014/06/29】,7252,-1
69,2018-01-25,https://www.youtube.com/watch?v=BBrjGcu1cac,うんこちゃん『ゴミ雑談』【2014/07/02】,7268,-1
70,2018-01-25,https://www.youtube.com/watch?v=wnhzais6Uew,うんこちゃん『娑婆』【2014/07/18】,1817,-1
71,2018-01-25,https://www.youtube.com/watch?v=rSZpgktsFPI,うんこちゃん『あ』【2014/07/18】,4320,-1
72,2018-01-25,https://www.youtube.com/watch?v=s6nVQDEzQKI,うんこちゃん『巨人』【2014/07/18】,6655,-1
73,2018-01-25,https://www.youtube.com/watch?v=h9_qaYKOVC4,うんこちゃん『無』【2014/07/23】,3498,-1
74,2018-01-25,https://www.youtube.com/watch?v=ayFf5qN4hWs,うんこちゃん『俺を一人にするな』【2014/07/23】,20724,-1
75,2018-01-25,https://www.youtube.com/watch?v=zmgCqOhJ1FM,うんこちゃん『今日は30時間くらいやるよ＾＾』【2014/07/23】,7433,-1
76,2018-01-25,https://www.youtube.com/watch?v=_RIvfw83bNY,うんこちゃん『さみしい』【2014/07/27】,2528,-1
77,2018-01-25,https://www.youtube.com/watch?v=1iGyuiG6R9A,うんこちゃん『晴れて無職』【2014/07/31】,11124,-1
78,2018-01-27,https://www.youtube.com/watch?v=H3dZw1_uqCw,うんこちゃん『一人がさみしい(;_;)』【2014/08/02】,9105,-1
79,2018-01-27,https://www.youtube.com/watch?v=PAAhXKTMZ1g,うんこちゃん『やります』【2014/08/04】,4851,-1
80,2018-01-29,https://www.youtube.com/watch?v=AlSK3OmgYFU,うんこちゃん『。』【2014/08/06】,3768,-1
81,2018-01-29,https://www.youtube.com/watch?v=D3R5fdUUT5M,うんこちゃん『.』【2014/08/11】,1794,-1
82,2018-01-29,https://www.youtube.com/watch?v=W5Gwgw7I470,うんこちゃん『雑談天国』【2014/08/11】,13762,-1
83,2018-01-29,https://www.youtube.com/watch?v=U_3G2-w27Ek,うんこちゃん『雑談天国』【2014/08/14】,10798,-1
84,2018-01-30,https://www.youtube.com/watch?v=F6kdPWgXQ4o,もこうxうんこちゃん『もこうの配信に電話出演』【2014/08/23】,292,-1
85,2018-02-01,https://www.youtube.com/watch?v=QTDWCGC4ocg,うんこちゃん『俺は悪くない!!!!!!』【2014/08/26】,7093,-1
86,2018-02-01,https://www.youtube.com/watch?v=cbkgm9K-5X0,うんこちゃん『カウントダウン』【2014/08/27】,4233,-1
87,2018-02-02,https://www.youtube.com/watch?v=r4FXm7QWluA,うんこちゃん『ルール決める』【2014/08/30】,8997,-1
